Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advanced Algorithms and Architectures for Speech Understanding","Research Reports ESPRIT","","","","10.1007/978-3-642-84341-9","Giancarlo Pirani","1990","http://link.springer.com/book/10.1007/978-3-642-84341-9","Book"
"Computational Intelligence and Quantitative Software Engineering","Studies in Computational Intelligence","","","","10.1007/978-3-319-25964-2","Witold PedryczGiancarlo SucciAlberto Sillitti","2016","http://link.springer.com/book/10.1007/978-3-319-25964-2","Book"
"DNA Computing","Lecture Notes in Computer Science","","","","10.1007/b136914","Claudio FerrettiGiancarlo MauriClaudio Zandron","2005","http://link.springer.com/book/10.1007/b136914","Book"
"Developments in Language Theory","Lecture Notes in Computer Science","","","","10.1007/978-3-642-22321-1","Giancarlo MauriAlberto Leporati","2011","http://link.springer.com/book/10.1007/978-3-642-22321-1","Book"
"Open Source Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-47240-5","Dr. Vladimir IvanovArtem KruglovSergey MasyaginProf. Alberto SillittiGiancarlo Succi","2020","http://link.springer.com/book/10.1007/978-3-030-47240-5","Book"
"Internet and Distributed Computing Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-02738-4","Yang XiangJingtao SunGiancarlo FortinoAntonio GuerrieriJason J. Jung","2018","http://link.springer.com/book/10.1007/978-3-030-02738-4","Book"
"Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-319-69904-2","Prof. Dr. Heinrich C. MayrGiancarlo GuizzardiHui MaProf. Dr. Oscar Pastor","2017","http://link.springer.com/book/10.1007/978-3-319-69904-2","Book"
"Internet and Distributed Computing Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-34914-1","Dr. Raffaele MontellaAngelo CiaramellaGiancarlo FortinoDr. Antonio GuerrieriAntonio Liotta","2019","http://link.springer.com/book/10.1007/978-3-030-34914-1","Book"
"Cellular Automata","Lecture Notes in Computer Science","","","","10.1007/978-3-319-99813-8","Giancarlo MauriSamira El YacoubiAlberto DennunzioKatsuhiro NishinariLuca Manzoni","2018","http://link.springer.com/book/10.1007/978-3-319-99813-8","Book"
"Interoperability, Safety and Security in IoT","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-319-93797-7","Prof. Giancarlo FortinoProf. Carlos E. PalauAntonio GuerrieriNora CuppensFrédéric CuppensProf. Hakima ChaouchiAlban Gabillon","2018","http://link.springer.com/book/10.1007/978-3-319-93797-7","Book"
